Data,Kraków - Aleja Krasińskiego (pył zawieszony PM2.5 [jednostka ug/m3]),Kraków - Aleja Krasińskiego (pył zawieszony PM10 [jednostka ug/m3]),Kraków - Aleja Krasińskiego (dwutlenek azotu [jednostka ug/m3]),Kraków - Aleja Krasińskiego (tlenek azotu [jednostka ug/m3]),Kraków - Aleja Krasińskiego (tlenki azotu [jednostka ug/m3]),Kraków - Aleja Krasińskiego (tlenek węgla [jednostka ug/m3]),Kraków - Aleja Krasińskiego (benzen [jednostka ug/m3])
2023-08-01 01:00,12.3,25.7,30.4,10.0,45.7,0.5,0.3
2023-08-01 02:00,14.0,27.4,31.9,23.4,67.7,0.5,0.4
2023-08-01 03:00,14.0,25.3,28.5,14.3,50.5,0.5,0.4
2023-08-01 04:00,14.0,29.3,23.4,27.7,65.8,0.5,0.4
2023-08-01 05:00,14.9,30.2,27.8,51.4,106.7,0.5,0.5
2023-08-01 06:00,17.2,39.1,42.2,85.5,173.2,0.7,0.7
2023-08-01 07:00,13.9,34.8,51.7,50.7,129.6,0.6,1.2
2023-08-01 08:00,12.2,33.8,47.9,42.5,113.1,0.5,0.5
2023-08-01 09:00,14.0,43.4,52.9,49.6,128.7,0.6,0.5
2023-08-01 10:00,12.7,35.2,44.1,33.9,95.9,0.5,0.4
2023-08-01 11:00,12.7,31.4,51.1,38.2,109.7,0.6,0.3
2023-08-01 12:00,13.3,32.9,54.3,43.9,121.6,0.6,0.4
2023-08-01 13:00,14.8,29.6,57.7,55.5,142.7,0.8,0.4
2023-08-01 14:00,13.9,24.1,54.6,55.4,139.6,0.7,0.6
2023-08-01 15:00,10.2,17.3,48.1,44.9,117.0,0.7,0.5
2023-08-01 16:00,8.2,13.8,51.3,40.0,112.8,0.6,0.4
2023-08-01 17:00,8.6,14.0,54.1,50.1,131.0,0.7,0.4
2023-08-01 18:00,7.4,12.7,52.2,42.6,117.4,0.6,0.5
2023-08-01 19:00,7.8,13.1,45.7,38.6,104.8,0.7,0.4
2023-08-01 20:00,8.0,14.8,42.9,29.6,88.3,0.7,0.4
2023-08-01 21:00,8.9,17.3,47.4,28.4,90.9,0.6,0.4
2023-08-01 22:00,9.1,15.7,42.9,20.4,74.2,0.5,0.4
2023-08-01 23:00,8.4,15.1,42.1,16.6,67.6,0.5,0.3
2023-08-02 00:00,7.5,12.8,28.2,8.8,41.7,0.5,0.3
2023-08-02 01:00,7.4,13.0,19.2,6.5,29.1,0.4,0.2
2023-08-02 02:00,7.4,12.6,19.2,6.7,29.5,0.4,0.2
2023-08-02 03:00,6.6,12.9,16.6,8.1,29.1,0.4,0.2
2023-08-02 04:00,7.3,15.5,22.9,14.6,45.2,0.4,0.2
2023-08-02 05:00,10.7,23.6,27.8,32.1,77.1,0.5,0.2
2023-08-02 06:00,12.4,27.2,28.9,35.8,83.8,0.5,0.3
2023-08-02 07:00,11.6,23.3,25.5,30.7,72.5,0.5,0.2
2023-08-02 08:00,10.4,23.5,27.0,31.5,75.3,0.5,0.3
2023-08-02 09:00,8.8,20.0,23.0,21.7,56.3,0.5,0.2
2023-08-02 10:00,9.1,21.4,27.1,20.7,58.8,0.5,0.2
2023-08-02 11:00,8.3,20.8,36.6,23.8,73.0,0.5,0.2
2023-08-02 12:00,6.6,15.3,30.7,20.3,61.9,0.4,0.2
2023-08-02 13:00,6.7,15.3,35.2,25.0,73.5,0.5,0.2
2023-08-02 14:00,6.1,12.7,27.4,17.1,53.6,0.5,0.3
2023-08-02 15:00,6.1,13.7,28.5,19.9,58.9,0.4,0.2
2023-08-02 16:00,5.8,14.7,31.7,16.7,57.3,0.4,0.2
2023-08-02 17:00,5.4,13.9,30.7,15.5,54.6,0.5,1.3
2023-08-02 18:00,6.8,16.0,50.5,23.8,86.9,0.5,0.3
2023-08-02 19:00,8.4,22.3,59.1,28.1,102.2,0.7,0.5
2023-08-02 20:00,9.9,24.6,80.1,40.9,142.9,0.9,0.5
2023-08-02 21:00,10.7,24.3,76.4,42.6,141.7,0.8,0.7
2023-08-02 22:00,10.4,23.4,62.5,24.0,99.4,0.7,0.6
